,,,,,,,,,,,
28,30,33,31,32,32,27,31,30,32,28,31
0,1,0,1,0,0,0,1,0,0,1,1
23.35588355,21.54532,25.25978231,23.40216988,31.09821915,29.98390456,22.72464346,30.07148599,28.90538097,24.49005453,29.76221905,35.26208036
120,107,130,106,110,123,115,112,122,112,123,95
81,61,74,65,68,76,72,71,76,72,82,61
0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,0,1,1,2,0,0,2,1
